DESCRIPCIÓN PRINCIPIO ACTIV,PRESENTACION,Fabricante,PRECIO MÁXIMO DE VENTA TRANSACCIÓN FINAL COMERCIAL
CEFUROXIM,SOLIDO,GLAXOSMITHKLINE,NO REGULADO
CEFUROXIM,SOLIDO,SANDOZ,NO REGULADO
CEFUROXIM,SOLIDO,LA SANTE,NO REGULADO
ESTRADIO,SOLIDO,BAYER,NO REGULADO
EXENATID,LIQUIDO/SOLIDO,ASTRAZENECA,NO REGULADO
ANTITIMOCITO IMMUNOGLOBULINA (CONEJO,LIQUIDO/SOLIDO,GENZYME,NO REGULADO
METFORMINA Y SITAGLIPTINA,SOLIDO,MERCK SHARP DOME,NO REGULADO
BOSENTAN ,SOLIDO,ACTELION,NO REGULADO
BOSENTAN ,SOLIDO,TECNOQUIMICAS,NO REGULADO
PACLITAXEL NANO - PARTÍCULA,LIQUIDO/SOLIDO,ABRAXIS BIOSCIENCE,NO REGULADO
SALMETEROL Y FLUTICASONA,LIQUIDO,GLAXOSMITHKLINE,NO REGULADO
SALMETEROL Y FLUTICASONA,LIQUIDO,NOVAMED,NO REGULADO
SALMETEROL Y FLUTICASONA,SOLIDO,GLAXOSMITHKLINE,NO REGULADO
VILANTEROL Y FUROATO DE FLUTICASONA,SOLIDO,GLAXOSMITHKLINE,NO REGULADO
FACTOR ANTIHEMOFÍLICO IX PLASMATIC,LIQUIDO/SOLIDO,BAXALTA,NO REGULADO
FACTOR ANTIHEMOFÍLICO IX RECOMBINANT,LIQUIDO/SOLIDO,PFIZER,NO REGULADO
FACTOR ANTIHEMOFÍLICO VIII PLASMATIC,LIQUIDO/SOLIDO,BAXALTA,NO REGULADO
LOPINAVIR + RITONAVI,LIQUIDO,,"$56,916.00"
LOPINAVIR + RITONAVI,SOLIDO,ABBOTT  / ABBVIE,"$108,048.00"
LOPINAVIR + RITONAVI,SOLIDO,ABBOTT  / ABBVIE,"$27,982.00"
IMATINI,SOLIDO,NOVARTIS,NO REGULADO
AGOMELATIN,SOLIDO,LES LABORATOIRES SERVIER,NO REGULADO
AGOMELATIN,SOLIDO,LAFRANCOL,NO REGULADO
AMINOÁCIDO,SOLIDO,FRESENIUS,NO REGULADO
ANFOTERICINA B (LIPOSOMAL,LIQUIDO/SOLIDO,GILEAD,NO REGULADO
ANIDULAFUNGIN,LIQUIDO/SOLIDO,PFIZER,NO REGULADO
ANTIGENOS DE NEUMOCOCO DE POLISACÁRIDOS CONJUGADOS ,LIQUIDO/SOLIDO,GLAXOSMITHKLINE,NO REGULADO
APREPITAN,LIQUIDO/SOLIDO,MERCK SHARP DOME,NO REGULADO
APREPITAN,LIQUIDO/SOLIDO,DR REDDYS,NO REGULADO
APREPITAN,SOLIDO,MERCK SHARP DOME,NO REGULADO
ATOSIBA,LIQUIDO/SOLIDO,FERRING,NO REGULADO
BACLOFEN,SOLIDO,ADVANCE SCIENTIFIC,NO REGULADO
BACLOFEN,SOLIDO,NOVARTIS,NO REGULADO
BRINZOLAMID,LIQUIDO,NOVARTIS,NO REGULADO
BRIVARACETA,SOLIDO,UCB,NO REGULADO
CANNABIDIOL + TETRAHIDROCANNABINO,LIQUIDO,GW PHARMA,NO REGULADO
CARBOXIMALTOSA DE HIERR,LIQUIDO/SOLIDO,VIFOR,NO REGULADO
COMPLEJO DE PROTROMBINA HUMAN,LIQUIDO/SOLIDO,OCTAPHARMA,NO REGULADO
DAPTOMICIN,LIQUIDO/SOLIDO,MERCK SHARP DOME,NO REGULADO
DAPTOMICIN,LIQUIDO/SOLIDO,BIOSPIFAR,NO REGULADO
DAPTOMICIN,LIQUIDO/SOLIDO,DR REDDYS,NO REGULADO
DEFEROXAMIN,LIQUIDO/SOLIDO,NOVARTIS,NO REGULADO
DESFLURAN,LIQUIDO,BAXTER,NO REGULADO
DINOPROSTON,SOLIDO,FERRING,NO REGULADO
DIOSMINA + HESPERIDIN,SOLIDO,AMERICAN GENERICS,NO REGULADO
DIOSMINA + HESPERIDIN,SOLIDO,LES LABORATOIRES SERVIER,NO REGULADO
EMPAGLIFLOZINA + LINAGLIPTIN,SOLIDO,BOEHRINGER,NO REGULADO
ENOXAPARIN,LIQUIDO/SOLIDO,PROCAPS,NO REGULADO
ENOXAPARIN,LIQUIDO/SOLIDO,DELTA,NO REGULADO
ENOXAPARIN,LIQUIDO/SOLIDO,SANOFI AVENTIS,NO REGULADO
EPOPROSTENO,LIQUIDO/SOLIDO,GLAXOSMITHKLINE,NO REGULADO
EPOPROSTENO,LIQUIDO/SOLIDO,ACTELION,NO REGULADO
EPROSARTAN + HIDROCLOROTIAZID,SOLIDO,LAFRANCOL,NO REGULADO
FLUVOXAMIN,SOLIDO,INCOBRA,NO REGULADO
FLUVOXAMIN,SOLIDO,LAFRANCOL,NO REGULADO
FOLITROPIN ALF,LIQUIDO/SOLIDO,MERCK,NO REGULADO
FOSFOLÍPIDOS NATURALE,LIQUIDO/SOLIDO,CHIESI,NO REGULADO
FOSFOLÍPIDOS NATURALE,LIQUIDO/SOLIDO,ABBOTT  / ABBVIE,NO REGULADO
FOSFOMICIN,SOLIDO,ZAMBON,NO REGULADO
GLICLAZID,SOLIDO,LES LABORATOIRES SERVIER,NO REGULADO
INDAPAMID,SOLIDO,LES LABORATOIRES SERVIER,NO REGULADO
INSULINA GLARGINA + LIXISENATID,LIQUIDO/SOLIDO,SANOFI AVENTIS,NO REGULADO
IOPROMID,LIQUIDO/SOLIDO,BAYER,NO REGULADO
IRBESARTÁN + HIDROCLOROTIAZID,SOLIDO,SANOFI AVENTIS,NO REGULADO
IRBESARTÁN + HIDROCLOROTIAZID,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
IRBESARTÁN + HIDROCLOROTIAZID,SOLIDO,TECNOQUIMICAS,NO REGULADO
IRBESARTÁN + HIDROCLOROTIAZID,SOLIDO,EUROFARMA,NO REGULADO
LEVODOPA + BENSERAZID,SOLIDO,ROCHE,NO REGULADO
LEVODOPA + CARBIDOPA + ENTECAPON,SOLIDO,SANDOZ,NO REGULADO
MERCAPTAMIN,LIQUIDO,RECORDATI RARE DISEASES,NO REGULADO
MERCAPTOPURIN,SOLIDO,ASPEN,NO REGULADO
METILFENIDAT,SOLIDO,NOVARTIS,NO REGULADO
METILFENIDAT,SOLIDO,JANSSEN,NO REGULADO
METROTEXAT,LIQUIDO/SOLIDO,PHARMALAB,NO REGULADO
OLANZAPIN,SOLIDO,ELI LILLY,NO REGULADO
OLANZAPIN,SOLIDO,LA SANTE,NO REGULADO
OLANZAPIN,SOLIDO,SANDOZ,NO REGULADO
OMEPRAZO,SOLIDO,CHEPLAPHARM,NO REGULADO
PERINDOPRI,SOLIDO,LES LABORATOIRES SERVIER,NO REGULADO
PERINDOPRIL + AMLODIPIN,SOLIDO,LES LABORATOIRES SERVIER,NO REGULADO
PERINDOPRIL + INDAPAMID,SOLIDO,LES LABORATOIRES SERVIER,NO REGULADO
SAFINAMID,SOLIDO,ZAMBON,NO REGULADO
SELLANTE DE FIBRIN,LIQUIDO/SOLIDO,CSL,NO REGULADO
SELLANTE DE FIBRIN,LIQUIDO/SOLIDO,BAXTER,NO REGULADO
SELLANTE DE FIBRIN,LIQUIDO/SOLIDO,JANSSEN,NO REGULADO
SEMAGLUTID,LIQUIDO/SOLIDO,NOVO NORDISK,NO REGULADO
SUGAMMADE,LIQUIDO/SOLIDO,ORGANON,NO REGULADO
TELMISARTÁN + AMLODIPIN,SOLIDO,BOEHRINGER,NO REGULADO
TELMISARTÁN + AMLODIPIN,SOLIDO,SYNTHESIS,NO REGULADO
TELMISARTÁN + AMLODIPIN,SOLIDO,LEGRAND,NO REGULADO
TELMISARTÁN + HIDROCLOROTIAZID,SOLIDO,BOEHRINGER,NO REGULADO
TELMISARTÁN + HIDROCLOROTIAZID,SOLIDO,LEGRAND,NO REGULADO
TELMISARTÁN + HIDROCLOROTIAZID,SOLIDO,MSN LABORATORIES PRIVATE,NO REGULADO
TERLIPRESIN,LIQUIDO/SOLIDO,FERRING,NO REGULADO
TERLIPRESIN,LIQUIDO/SOLIDO,ZONEPHARMA,NO REGULADO
VALSARTAN + AMLODIPIN,SOLIDO,NOVARTIS,NO REGULADO
VALSARTAN + AMLODIPIN,SOLIDO,PROCAPS,NO REGULADO
VALSARTAN + AMLODIPIN,SOLIDO,LEGRAND,NO REGULADO
VALSARTAN + AMLODIPINO + HIDROCLOROTIAZID,SOLIDO,NOVARTIS,NO REGULADO
VENETOCLA,SOLIDO,ABBOTT  / ABBVIE,NO REGULADO
VERAPAMIL,SOLIDO,TECNOQUIMICAS,NO REGULADO
VERAPAMIL,SOLIDO,LA SANTE,NO REGULADO
VERAPAMIL,SOLIDO,LAFRANCOL,NO REGULADO
VINORELBIN,LIQUIDO/SOLIDO,BLAU,NO REGULADO
VITAMINA A + VITAMINA ,LIQUIDO/SOLIDO,FRESENUIS,NO REGULADO
IMIGLUCERAS,LIQUIDO/SOLIDO,ISU,NO REGULADO
IMIGLUCERAS,LIQUIDO/SOLIDO,GENZYME,NO REGULADO
FACTOR VIII INHIBIDOR ACTIVADO POR BYPAS,LIQUIDO/SOLIDO,BAXTER,NO REGULADO
AMBRISENTA,SOLIDO,THE LABS,NO REGULADO
AMBRISENTA,SOLIDO,TECNOQUIMICAS,NO REGULADO
AMBRISENTA,SOLIDO,XINETIX PHARMA,NO REGULADO
AMBRISENTA,SOLIDO,HB HUMAN BIOSCIENCE,NO REGULADO
AMBRISENTA,SOLIDO,LAFRANCOL,NO REGULADO
AMBRISENTA,SOLIDO,CIPLA,NO REGULADO
AMBRISENTA,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
TERIPARATID,LIQUIDO/SOLIDO,BIOSIDUS,NO REGULADO
TERIPARATID,LIQUIDO/SOLIDO,WILLOW,NO REGULADO
TERIPARATID,LIQUIDO/SOLIDO,ELI LILLY,NO REGULADO
RALTEGRAVI,SOLIDO,MERCK SHARP DOME,NO REGULADO
PALIVIZUMA,LIQUIDO/SOLIDO,ABBOTT  / ABBVIE,NO REGULADO
TEMOZOLOMID,SOLIDO,LAFRANCOL,NO REGULADO
TEMOZOLOMID,SOLIDO,CIPLA,NO REGULADO
TEMOZOLOMID,SOLIDO,SUN PHARMACEUTICAL,NO REGULADO
TEMOZOLOMID,SOLIDO,HETERO,NO REGULADO
TEMOZOLOMID,SOLIDO,MONTE VERDE,NO REGULADO
TEMOZOLOMID,SOLIDO,HB HUMAN BIOSCIENCE,NO REGULADO
TEMOZOLOMID,SOLIDO,PROCAPS,NO REGULADO
CAPECITABIN,SOLIDO,AL PHARMA,NO REGULADO
CAPECITABIN,SOLIDO,NEXT PHARMA,NO REGULADO
CAPECITABIN,SOLIDO,EUROFARMA,NO REGULADO
CAPECITABIN,SOLIDO,PROCAPS,NO REGULADO
CAPECITABIN,SOLIDO,PISA,NO REGULADO
CAPECITABIN,SOLIDO,CIPLA,NO REGULADO
CAPECITABIN,SOLIDO,DR REDDYS,NO REGULADO
CAPECITABIN,SOLIDO,SANDOZ,NO REGULADO
CAPECITABIN,SOLIDO,SUN PHARMACEUTICAL,NO REGULADO
CAPECITABIN,SOLIDO,HETERO,NO REGULADO
DASATINI,SOLIDO,MONTE VERDE,NO REGULADO
DASATINI,SOLIDO,LKM,NO REGULADO
DASATINI,SOLIDO,SYNTHESIS,NO REGULADO
DASATINI,SOLIDO,BRISTOL MYERS SQUIBB,NO REGULADO
BORTEZOMI,LIQUIDO/SOLIDO,GENBIE,NO REGULADO
BORTEZOMI,LIQUIDO/SOLIDO,RICHMOND,NO REGULADO
BORTEZOMI,LIQUIDO/SOLIDO,MSN LABORATORIES PRIVATE,NO REGULADO
BORTEZOMI,LIQUIDO/SOLIDO,LEGRAND,NO REGULADO
BORTEZOMI,LIQUIDO/SOLIDO,PFIZER,NO REGULADO
BORTEZOMI,LIQUIDO/SOLIDO,XINETIX PHARMA,NO REGULADO
BORTEZOMI,LIQUIDO/SOLIDO,MASTERS PHARMACEUTICALS,NO REGULADO
BORTEZOMI,LIQUIDO/SOLIDO,PROCLIN,NO REGULADO
BORTEZOMI,LIQUIDO/SOLIDO,KEMEX,NO REGULADO
BORTEZOMI,LIQUIDO/SOLIDO,LAFRANCOL,NO REGULADO
BORTEZOMI,LIQUIDO/SOLIDO,PROCAPS,NO REGULADO
BORTEZOMI,LIQUIDO/SOLIDO,PISA,NO REGULADO
BORTEZOMI,LIQUIDO/SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
BORTEZOMI,LIQUIDO/SOLIDO,LIBRA,NO REGULADO
BORTEZOMI,LIQUIDO/SOLIDO,LKM,NO REGULADO
BORTEZOMI,LIQUIDO/SOLIDO,SUN PHARMACEUTICAL,NO REGULADO
BORTEZOMI,LIQUIDO/SOLIDO,DR REDDYS,NO REGULADO
BORTEZOMI,LIQUIDO/SOLIDO,ROPSOHN,NO REGULADO
BORTEZOMI,LIQUIDO/SOLIDO,HETERO,NO REGULADO
BORTEZOMI,LIQUIDO/SOLIDO,SANDOZ,NO REGULADO
BEVACIZUMA,LIQUIDO/SOLIDO,PFIZER,NO REGULADO
BEVACIZUMA,LIQUIDO/SOLIDO,AMGEN,NO REGULADO
INFLIXIMA,LIQUIDO/SOLIDO,AMGEN,NO REGULADO
INFLIXIMA,LIQUIDO/SOLIDO,CELLTRION,NO REGULADO
ADALIMUMA,LIQUIDO/SOLIDO,FRESENIUS,NO REGULADO
ADALIMUMA,LIQUIDO/SOLIDO,SANDOZ,NO REGULADO
ADALIMUMA,LIQUIDO/SOLIDO,AMGEN,NO REGULADO
GALANTAMIN,SOLIDO,PROCAPS,NO REGULADO
VALGANCICLOVI,SOLIDO,XINETIX PHARMA,NO REGULADO
VALGANCICLOVI,SOLIDO,PISA,NO REGULADO
VALGANCICLOVI,SOLIDO,HETERO,NO REGULADO
VALGANCICLOVI,SOLIDO,CIPLA,NO REGULADO
VALGANCICLOVI,SOLIDO,GENFAR,NO REGULADO
VALGANCICLOVI,SOLIDO,LEGRAND,NO REGULADO
LINEZOLI,SOLIDO,CIPLA,NO REGULADO
LINEZOLI,SOLIDO,GLENMARK,NO REGULADO
LINEZOLI,SOLIDO,SANDOZ,NO REGULADO
LINEZOLI,SOLIDO,BIOSPIFAR,NO REGULADO
LINEZOLI,SOLIDO,LAFRANCOL,NO REGULADO
LINEZOLI,SOLIDO,BIOFLUIDOS & FARMA,NO REGULADO
TACROLIMU,SOLIDO,VEROS HEALTH,NO REGULADO
TACROLIMU,SOLIDO,PISA,NO REGULADO
TACROLIMU,SOLIDO,ALKEM,NO REGULADO
ALGLUCOSIDASA ALF,LIQUIDO/SOLIDO,GENZYME,NO REGULADO
BICALUTAMID,SOLIDO,LEGRAND,NO REGULADO
BICALUTAMID,SOLIDO,HETERO,NO REGULADO
BICALUTAMID,SOLIDO,HB HUMAN BIOSCIENCE,NO REGULADO
BICALUTAMID,SOLIDO,PINT PHARMA,NO REGULADO
BICALUTAMID,SOLIDO,CIPLA,NO REGULADO
BICALUTAMID,SOLIDO,HEALTH NET,NO REGULADO
BICALUTAMID,SOLIDO,KERN PHARMA,NO REGULADO
CASPOFUNGIN,LIQUIDO/SOLIDO,SRS LIFE,NO REGULADO
CASPOFUNGIN,LIQUIDO/SOLIDO,VITALIS,NO REGULADO
CASPOFUNGIN,LIQUIDO/SOLIDO,NORSTRAY NUART,NO REGULADO
CASPOFUNGIN,LIQUIDO/SOLIDO,NORSTRAY Y NUART,NO REGULADO
CASPOFUNGIN,LIQUIDO/SOLIDO,XINETIX PHARMA,NO REGULADO
CASPOFUNGIN,LIQUIDO/SOLIDO,GALENICUM HEALTH,NO REGULADO
CASPOFUNGIN,LIQUIDO/SOLIDO,AVALON,NO REGULADO
CASPOFUNGIN,LIQUIDO/SOLIDO,CIPLA,NO REGULADO
CASPOFUNGIN,LIQUIDO/SOLIDO,BIOSPIFAR,NO REGULADO
CASPOFUNGIN,LIQUIDO/SOLIDO,PISA,NO REGULADO
CASPOFUNGIN,LIQUIDO/SOLIDO,PROCAPS,NO REGULADO
CASPOFUNGIN,LIQUIDO/SOLIDO,SETAA,NO REGULADO
CASPOFUNGIN,LIQUIDO/SOLIDO,LEGRAND,NO REGULADO
CASPOFUNGIN,LIQUIDO/SOLIDO,DR REDDYS,NO REGULADO
CICLOSPORIN,SOLIDO,MEGALABS,NO REGULADO
DABIGATRAN ETEXILAT,SOLIDO,ALKEM,NO REGULADO
DECITABIN,LIQUIDO/SOLIDO,AL PHARMA,NO REGULADO
DECITABIN,LIQUIDO/SOLIDO,CIPLA,NO REGULADO
DECITABIN,LIQUIDO/SOLIDO,DR REDDYS,NO REGULADO
DECITABIN,LIQUIDO/SOLIDO,JANSSEN,NO REGULADO
DEFERASIRO,SOLIDO,LEGRAND,NO REGULADO
DEFERASIRO,SOLIDO,MSN LABORATORIES PRIVATE,NO REGULADO
DEFERASIRO,SOLIDO,DR REDDYS,NO REGULADO
DEFERASIRO,SOLIDO,NOVARTIS,NO REGULADO
ESOMEPRAZO,LIQUIDO/SOLIDO,ASPIRO PHARMA,NO REGULADO
ESOMEPRAZO,LIQUIDO/SOLIDO,PHARMAYECT,NO REGULADO
ESOMEPRAZO,LIQUIDO/SOLIDO,AVALON,NO REGULADO
ESOMEPRAZO,LIQUIDO/SOLIDO,SUN PHARMACEUTICAL,NO REGULADO
ESOMEPRAZO,LIQUIDO/SOLIDO,DELTA,NO REGULADO
ESOMEPRAZO,LIQUIDO/SOLIDO,PROCAPS,NO REGULADO
ESOMEPRAZO,LIQUIDO/SOLIDO,BUSSIÉ,NO REGULADO
EXEMESTAN,SOLIDO,GALENICUM HEALTH,NO REGULADO
EXEMESTAN,SOLIDO,GENEPHARM,NO REGULADO
EXEMESTAN,SOLIDO,LEGRAND,NO REGULADO
EXEMESTAN,SOLIDO,PINT PHARMA,NO REGULADO
FULVESTRAN,LIQUIDO/SOLIDO,SANDOZ,NO REGULADO
FULVESTRAN,LIQUIDO/SOLIDO,KEMEX,NO REGULADO
FULVESTRAN,LIQUIDO/SOLIDO,DR REDDYS,NO REGULADO
GALSULFAS,LIQUIDO/SOLIDO,BIOMARIN,NO REGULADO
IDURSULFAS,LIQUIDO/SOLIDO,BAXALTA,NO REGULADO
INSULINA GLARGIN,LIQUIDO/SOLIDO,ELI LILLY,NO REGULADO
INSULINA GLARGIN,LIQUIDO/SOLIDO,ELIXYM BIOPHARMACEUTICAL,NO REGULADO
INSULINA GLARGIN,LIQUIDO/SOLIDO,BIOCON,NO REGULADO
INSULINA LISPR,LIQUIDO/SOLIDO,SANOFI,NO REGULADO
LARONIDAS,LIQUIDO/SOLIDO,GENZYME,NO REGULADO
LEFLUNOMID,SOLIDO,CLINICOS Y HOSPITALARIOS,NO REGULADO
LEFLUNOMID,SOLIDO,HB HUMAN BIOSCIENCE,NO REGULADO
LEFLUNOMID,SOLIDO,ALTADIS,NO REGULADO
LEFLUNOMID,SOLIDO,GALENICUM HEALTH,NO REGULADO
LEFLUNOMID,SOLIDO,NOVAMED,NO REGULADO
LEFLUNOMID,SOLIDO,PINT PHARMA,NO REGULADO
LEUPRORELINA ACETAT,LIQUIDO/SOLIDO,CHALVER,NO REGULADO
LEVETIRACETA,SOLIDO,SANOFI AVENTIS,NO REGULADO
LEVETIRACETA,SOLIDO,RICHMOND,NO REGULADO
LEVETIRACETA,SOLIDO,SANDOZ,NO REGULADO
LEVETIRACETA,SOLIDO,LAPROFF,NO REGULADO
LEVETIRACETA,SOLIDO,NEXT PHARMA SOURCING,NO REGULADO
LEVETIRACETA,SOLIDO,MK,NO REGULADO
LEVETIRACETA,SOLIDO,GALENICUM HEALTH,NO REGULADO
LEVETIRACETA,SOLIDO,ALTADIS,NO REGULADO
LEVETIRACETA,SOLIDO,SUN PHARMACEUTICAL,NO REGULADO
LEVETIRACETA,SOLIDO,BRAINPHARMA,NO REGULADO
LEVETIRACETA,SOLIDO,WINTHROP,NO REGULADO
LEVETIRACETA,SOLIDO,NOVAMED,NO REGULADO
LEVETIRACETA,SOLIDO,AH ROBINS,NO REGULADO
LEVETIRACETA,SOLIDO,SYNTHESIS,NO REGULADO
LEVETIRACETA,SOLIDO,PINT PHARMA,NO REGULADO
LEVETIRACETA,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
LINEZOLI,LIQUIDO/SOLIDO,PISA,NO REGULADO
LINEZOLI,LIQUIDO/SOLIDO,ADVANCE SCIENTIFIC,NO REGULADO
LINEZOLI,LIQUIDO/SOLIDO,BRAUN,NO REGULADO
LINEZOLI,LIQUIDO/SOLIDO,STEIN,NO REGULADO
LINEZOLI,LIQUIDO/SOLIDO,CORPAUL,NO REGULADO
LINEZOLI,LIQUIDO/SOLIDO,FRESENIUS,NO REGULADO
LINEZOLI,LIQUIDO/SOLIDO,BIOSPIFAR,NO REGULADO
LINEZOLI,LIQUIDO/SOLIDO,AMAREY NOVAMEDICAL,NO REGULADO
LINEZOLI,LIQUIDO/SOLIDO,LAFRANCOL,NO REGULADO
LINEZOLI,LIQUIDO/SOLIDO,ADS PHARMA,NO REGULADO
LINEZOLI,LIQUIDO/SOLIDO,PROCAPS,NO REGULADO
LINEZOLI,LIQUIDO/SOLIDO,DUMIAN,NO REGULADO
LINEZOLI,LIQUIDO/SOLIDO,BIOFLUIDOS & FARMA,NO REGULADO
LINEZOLI,LIQUIDO/SOLIDO,BAXTER,NO REGULADO
LINEZOLI,LIQUIDO/SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
MEROPENE,LIQUIDO/SOLIDO,NORSTRAY Y NUART,NO REGULADO
MEROPENE,LIQUIDO/SOLIDO,MEGALABS,NO REGULADO
MEROPENE,LIQUIDO/SOLIDO,FRESENIUS,NO REGULADO
MEROPENE,LIQUIDO/SOLIDO,VICAR,NO REGULADO
MEROPENE,LIQUIDO/SOLIDO,ANTIBIOTICOS DE COLOMBIA,NO REGULADO
MEROPENE,LIQUIDO/SOLIDO,BIOSELECT,NO REGULADO
MEROPENE,LIQUIDO/SOLIDO,XINETIX PHARMA,NO REGULADO
MEROPENE,LIQUIDO/SOLIDO,AUROBINDO,NO REGULADO
MEROPENE,LIQUIDO/SOLIDO,PHARMAYECT,NO REGULADO
MEROPENE,LIQUIDO/SOLIDO,COLMED,NO REGULADO
MEROPENE,LIQUIDO/SOLIDO,FARMALOGICA,NO REGULADO
MEROPENE,LIQUIDO/SOLIDO,VENUS,NO REGULADO
MEROPENE,LIQUIDO/SOLIDO,BLAU,NO REGULADO
MEROPENE,LIQUIDO/SOLIDO,LEGRAND,NO REGULADO
MEROPENE,LIQUIDO/SOLIDO,LABORATORIO INTERNACIONAL ARGENTINO,NO REGULADO
MEROPENE,LIQUIDO/SOLIDO,VITALIS,NO REGULADO
METILPREDNISOLON,LIQUIDO/SOLIDO,AUROBINDO,NO REGULADO
METILPREDNISOLON,LIQUIDO/SOLIDO,VITALIS,NO REGULADO
METILPREDNISOLON,LIQUIDO/SOLIDO,BLAU,NO REGULADO
METILPREDNISOLON,METILPREDNISOLONA 200MG/5ML (40MG/1ML),Inyectable x 1,NO REGULADO
METILPREDNISOLON,METILPREDNISOLONA 40MG/1ML (40MG/1ML),Inyectable x 1,NO REGULADO
MICOFENOLICO ACID,SOLIDO,HB HUMAN BIOSCIENCE,NO REGULADO
MICOFENOLICO ACID,SOLIDO,HB HUMAN,NO REGULADO
MICOFENOLICO ACID,SOLIDO,INTAS,NO REGULADO
MICOFENOLICO ACID,SOLIDO,ALKEM,NO REGULADO
MICOFENOLICO ACID,SOLIDO,ALTADIS,NO REGULADO
MICOFENOLICO ACID,SOLIDO,PROCAPS,NO REGULADO
MICOFENOLICO ACID,SOLIDO,SANDOZ,NO REGULADO
MICOFENOLICO ACID,SOLIDO,PISA,NO REGULADO
MICOFENOLICO ACID,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
OCTREOTID,LIQUIDO/SOLIDO,HB HUMAN BIOSCIENCE,NO REGULADO
OCTREOTID,LIQUIDO/SOLIDO,CLOSTER PHARMA,NO REGULADO
OCTREOTID,LIQUIDO/SOLIDO,BENDALIS,NO REGULADO
OCTREOTID,LIQUIDO/SOLIDO,CHALVER,NO REGULADO
PEMETREXE,LIQUIDO/SOLIDO,GENBIE,NO REGULADO
PEMETREXE,LIQUIDO/SOLIDO,MASTERS PHARMACEUTICALS,NO REGULADO
PEMETREXE,LIQUIDO/SOLIDO,BLAU,NO REGULADO
PEMETREXE,LIQUIDO/SOLIDO,AL PHARMA,NO REGULADO
PEMETREXE,LIQUIDO/SOLIDO,NEXT PHARMA SOURCING,NO REGULADO
PEMETREXE,LIQUIDO/SOLIDO,HETERO,NO REGULADO
PEMETREXE,LIQUIDO/SOLIDO,LEGRAND,NO REGULADO
PEMETREXE,LIQUIDO/SOLIDO,PROCAPS,NO REGULADO
PEMETREXE,LIQUIDO/SOLIDO,RICHMOND,NO REGULADO
PEMETREXE,LIQUIDO/SOLIDO,FRESENIUS,NO REGULADO
PEMETREXE,LIQUIDO/SOLIDO,HB HUMAN BIOSCIENCE,NO REGULADO
PEMETREXE,LIQUIDO/SOLIDO,LIBRA,NO REGULADO
PEMETREXE,LIQUIDO/SOLIDO,VENUS,NO REGULADO
PEMETREXE,LIQUIDO/SOLIDO,DR REDDYS,NO REGULADO
PEMETREXE,LIQUIDO/SOLIDO,LKM,NO REGULADO
PEMETREXE,LIQUIDO/SOLIDO,SANDOZ,NO REGULADO
PEMETREXE,LIQUIDO/SOLIDO,COMERCIAL MEDICA,NO REGULADO
PEMETREXE,LIQUIDO/SOLIDO,GLENMARK,NO REGULADO
PEMETREXE,LIQUIDO/SOLIDO,SUN PHARMACEUTICAL,NO REGULADO
PEMETREXE,LIQUIDO/SOLIDO,ROPSOHN,NO REGULADO
PEMETREXE,LIQUIDO/SOLIDO,ERIOCHEM,NO REGULADO
PEMETREXE,LIQUIDO/SOLIDO,SEVEN PHARMA,NO REGULADO
PEMETREXE,LIQUIDO/SOLIDO,FARMACEUTICA PARAGUAYA,NO REGULADO
PEMETREXE,LIQUIDO/SOLIDO,ELI LILLY,NO REGULADO
PRAMIPEXOL,SOLIDO,EUROFARMA,NO REGULADO
PRAMIPEXOL,SOLIDO,MOMENTA,NO REGULADO
PRAMIPEXOL,SOLIDO,LEGRAND,NO REGULADO
PRAMIPEXOL,SOLIDO,SUN PHARMACEUTICAL,NO REGULADO
PREGABALIN,SOLIDO,EXELTIS,NO REGULADO
PREGABALIN,SOLIDO,SANDOZ,NO REGULADO
PREGABALIN,SOLIDO,GALENICUM HEALTH,NO REGULADO
PREGABALIN,SOLIDO,PISA,NO REGULADO
PREGABALIN,SOLIDO,JUSTE,NO REGULADO
PREGABALIN,SOLIDO,HETERO,NO REGULADO
PREGABALIN,SOLIDO,ALTADIS,NO REGULADO
PREGABALIN,SOLIDO,MSN LABORATORIES PRIVATE,NO REGULADO
PREGABALIN,SOLIDO,ECAR,NO REGULADO
PREGABALIN,SOLIDO,KERN PHARMA,NO REGULADO
PREGABALIN,SOLIDO,LEGRAND,NO REGULADO
PREGABALIN,SOLIDO,ACTIFARMA,NO REGULADO
PREGABALIN,SOLIDO,SUN PHARMACEUTICAL,NO REGULADO
PREGABALIN,SOLIDO,WINTHROP,NO REGULADO
PREGABALIN,SOLIDO,SALUSPHARMA,NO REGULADO
PREGABALIN,SOLIDO,ANDROMACO,NO REGULADO
PREGABALIN,SOLIDO,MK,NO REGULADO
PREGABALIN,SOLIDO,SYNTHESIS,NO REGULADO
PREGABALIN,SOLIDO,TECNOQUIMICAS,NO REGULADO
PREGABALIN,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
PREGABALIN,SOLIDO,MEGA LABS,NO REGULADO
QUETIAPIN,SOLIDO,MOMENTA,NO REGULADO
