NOMBRE DEL PRODUCTO FARMACÉUTIC,TIPO DE FÁRMACO,Nombre del laboratorio ofertante,Estado,Principio activo o asociación de principios activos,Tratamiento de larga duración
VALSARTAN/HIDROCLOROTIAZIDA TECNIGEN,MEDICAMENTO GENERICO,TECNIMEDE ESPAÑA INDUSTRIA FARMACEUTICA S.A.,ALTA,"HIDROCLOROTIAZIDA,VALSARTAN",NO
VALSARTAN/HIDROCLOROTIAZIDA TECNIGEN,MEDICAMENTO GENERICO,TECNIMEDE ESPAÑA INDUSTRIA FARMACEUTICA S.A.,ALTA,"VALSARTAN,HIDROCLOROTIAZIDA",NO
VANCOMICINA PFIZER,MEDICAMENTO GENERICO,"PFIZER, S.L",ALTA,VANCOMICINA HIDROCLORURO,NO
MENOPUR,MEDICAMENTO ETICA,FERRING S.A.U,ALTA,MENOTROPINA,NO
CITALOPRAM PENSA,MEDICAMENTO GENERICO,"TOWA PHARMACEUTICAL, S.A.",ALTA,CITALOPRAM HIDROBROMURO,NO
AMOXICILINA/ACIDO CLAVULANICO ARDINECLAV,MEDICAMENTO GENERICO,REIG JOFRE S.A.,ALTA,"CLAVULANATO POTASIO,AMOXICILINA TRIHIDRATO",NO
OLANZAPINA FLAS STADA,MEDICAMENTO GENERICO,"STADA, S.L",ALTA,OLANZAPINA,NO
VALSARTAN TARBIS,MEDICAMENTO GENERICO,"TARBIS FARMA, S.L.",ALTA,VALSARTAN,NO
TACROLIMUS MYLAN,MEDICAMENTO GENERICO,"VIATRIS PHARMACEUTICALS, S.L.U",BAJA GENERAL,TACROLIMUS,NO
PARACETAMOL MABO,MEDICAMENTO GENERICO,"MABO-FARMA, S.A.",SUSPENSION TEMPORAL GENERAL,PARACETAMOL,NO
RAMIPRIL TECNIGEN,MEDICAMENTO GENERICO,TECNIMEDE ESPAÑA INDUSTRIA FARMACEUTICA S.A.,ALTA,RAMIPRIL,SI
RAMIPRIL TARBIS,MEDICAMENTO GENERICO,"TARBIS FARMA, S.L.",ALTA,RAMIPRIL,SI
REPAGLINIDA ALTER,MEDICAMENTO GENERICO,ALTER S.A.,ALTA,REPAGLINIDA,NO
ZADITEN,MEDICAMENTO ETICA,THEA S.A.,ALTA,KETOTIFENO FUMARATO,NO
LANSOPRAZOL KERN PHARMA,MEDICAMENTO GENERICO,"KERN PHARMA, S.L.",ALTA,LANSOPRAZOL,NO
COMBIPRASAL,MEDICAMENTO ETICA,"ALDO-UNION, S.L.",ALTA,"IPRATROPIO BROMURO,SALBUTAMOL SULFATO",SI
VALSARTAN TECNIGEN,MEDICAMENTO GENERICO,TECNIMEDE ESPAÑA INDUSTRIA FARMACEUTICA S.A.,BAJA POR NO COMERCIALIZAR,VALSARTAN,NO
ARENBIL FLAS,MEDICAMENTO GENERICO,"NEURAXPHARM SPAIN, S.L.U",ALTA,OLANZAPINA,NO
ARENBIL FLAS ,MEDICAMENTO GENERICO,"NEURAXPHARM SPAIN, S.L.U",ALTA,OLANZAPINA,NO
LORMETAZEPAM PENSA,MEDICAMENTO GENERICO,"TOWA PHARMACEUTICAL, S.A.",ALTA,LORMETAZEPAM,NO
ACIDO IBANDRONICO KERN PHARMA,MEDICAMENTO GENERICO,"KERN PHARMA, S.L.",ALTA,IBANDRONICO ACIDO,NO
VALSARTAN-HIDROCLOROTIAZIDA TARBIS,MEDICAMENTO GENERICO,"TARBIS FARMA, S.L.",SUSPENSION TEMPORAL GENERAL,"VALSARTAN,HIDROCLOROTIAZIDA",NO
VALSARTAN-HIDROCLOROTIAZIDA TARBIS,MEDICAMENTO GENERICO,"TARBIS FARMA, S.L.",SUSPENSION TEMPORAL GENERAL,"HIDROCLOROTIAZIDA,VALSARTAN",NO
VALSARTAN CARDIO MYLAN PHARMACEUTICALS,MEDICAMENTO GENERICO,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,VALSARTAN,NO
VALSARTAN/HIDROCLOROTIAZIDA SUN,MEDICAMENTO GENERICO,"SUN PHARMA LABORATORIOS, S.L",ALTA,"VALSARTAN,HIDROCLOROTIAZIDA",NO
VENLAFAXINA RETARD PHARMAGENUS,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",BAJA GENERAL,VENLAFAXINA  HIDROCLORURO,NO
ZOLAFREN FLAS,MEDICAMENTO GENERICO,"ADAMED LABORATORIOS, S.L.U",ALTA,OLANZAPINA,NO
LORMETAZEPAM KERN PHARMA,MEDICAMENTO GENERICO,"KERN PHARMA, S.L.",ALTA,LORMETAZEPAM,NO
REPAGLINIDA TEVA,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",BAJA POR NO COMERCIALIZAR,REPAGLINIDA,NO
VALSARTAN/HIDROCLOROTIAZIDA SUN,MEDICAMENTO GENERICO,"SUN PHARMA LABORATORIOS, S.L",ALTA,"HIDROCLOROTIAZIDA,VALSARTAN",NO
LORMETAZEPAM  KERN PHARMA,MEDICAMENTO GENERICO,"KERN PHARMA, S.L.",ALTA,LORMETAZEPAM,NO
PRITOR,MEDICAMENTO ETICA,"EUROMED PHARMA SPAIN, S.L.",ALTA,TELMISARTAN,NO
PRITOR,MEDICAMENTO ETICA,"ELAM PHARMA LABS, S.L.",ALTA,TELMISARTAN,NO
CAMPRAL,MEDICAMENTO ETICA,"MERCK, S.L",ALTA,ACAMPROSATO,NO
OVITRELLE,MEDICAMENTO ETICA,"MERCK, S.L",ALTA,GONADOTROFINA CORIONICA HUMANA,NO
AVAMYS ,MEDICAMENTO ETICA,"DIFARMED, S.L.U",ALTA,FLUTICASONA FUROATO,NO
ATROVENT MONODOSIS,MEDICAMENTO ETICA,"BOEHRINGER INGELHEIM ESPAÑA, S.A.",ALTA,IPRATROPIO BROMURO,SI
ATROVENT,MEDICAMENTO ETICA,"BOEHRINGER INGELHEIM ESPAÑA, S.A.",ALTA,IPRATROPIO BROMURO,SI
CICLOPIROX OLAMINA CAPITEC,MEDICAMENTO ETICA,REIG JOFRE S.A.,ALTA,CICLOPIROX OLAMINA,NO
VALACICLOVIR ARISTO,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",BAJA POR NO COMERCIALIZAR,VALACICLOVIR  HIDROCLORURO,NO
IDEOS,MEDICAMENTO ETICA,THERAMEX  IRELAND LIMITED,ALTA,"CALCIO CARBONATO,COLECALCIFEROL",NO
IDEOS,MEDICAMENTO ETICA,THERAMEX  IRELAND LIMITED,ALTA,"COLECALCIFEROL,CALCIO CARBONATO",NO
METFORMINA AUROVITAS SPAIN,MEDICAMENTO GENERICO,"AUROVITAS SPAIN, S.A.U",BAJA GENERAL,METFORMINA HIDROCLORURO,NO
PRAVASTATINA VIATRIS,MEDICAMENTO GENERICO,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,PRAVASTATINA SODICA,SI
MANIDIPINO STADA,MEDICAMENTO GENERICO,"STADA, S.L",ALTA,MANIDIPINO DIHIDROCLORURO,NO
LETROZOL VIATRIS,MEDICAMENTO GENERICO,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,LETROZOL,NO
LEVOFLOXACINO SUN,MEDICAMENTO GENERICO,"SUN PHARMA LABORATORIOS, S.L",ALTA,LEVOFLOXACINO HEMIHIDRATO,NO
DONEPEZILO KRKA,MEDICAMENTO GENERICO,"KRKA FARMACEUTICA, S.L.",ALTA,DONEPEZILO HIDROCLORURO,NO
ACIDO IBANDRONICO VIATRIS,MEDICAMENTO GENERICO,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,IBANDRONICO ACIDO,NO
CAPENON HCT,MEDICAMENTO ETICA,"DAIICHI SANKYO ESPAÑA, S.A.",ALTA,"OLMESARTAN MEDOXOMILO,HIDROCLOROTIAZIDA,AMLODIPINO BESILATO",NO
TRANKIMAZIN RETARD,MEDICAMENTO ETICA,"VIATRIS  HEALTHCARE, S.L.",ALTA,ALPRAZOLAM,NO
SEVIKAR HCT,MEDICAMENTO ETICA,"DAIICHI SANKYO ESPAÑA, S.A.",ALTA,"OLMESARTAN MEDOXOMILO,HIDROCLOROTIAZIDA,AMLODIPINO BESILATO",NO
PRISDAL,MEDICAMENTO ETICA,LUNDBECK ESPAÑA S.A.,ALTA,CITALOPRAM HIDROBROMURO,NO
TOPIRAMATO BLUEFISH,MEDICAMENTO GENERICO,"BLUEFISH PHARMA, S.L.U",BAJA GENERAL,TOPIRAMATO,NO
LEVOCETIRIZINA KRKA,MEDICAMENTO GENERICO,KRKA D.D. NOVO MESTO,ALTA,LEVOCETIRIZINA DIHIDROCLORURO,NO
RABEPRAZOL AUROVITAS SPAIN,MEDICAMENTO GENERICO,"AUROVITAS SPAIN, S.A.U",ALTA,RABEPRAZOL SODICO,NO
CRONODINE RETARD,MEDICAMENTO ETICA,ESPECIALIDADES FARMACEUTICAS CENTRUM S.A.,ALTA,DILTIAZEM HIDROCLORURO,SI
TRUMSAL RETARD,MEDICAMENTO ETICA,ESPECIALIDADES FARMACEUTICAS CENTRUM S.A.,ALTA,DILTIAZEM HIDROCLORURO,SI
RABEPRAZOL AUROVITAS SPAIN,MEDICAMENTO GENERICO,"AUROVITAS SPAIN, S.A.U",BAJA POR NO COMERCIALIZAR,RABEPRAZOL SODICO,NO
BECLOENEMA,MEDICAMENTO ETICA,FARMALIDER S.A.,ALTA,BECLOMETASONA DIPROPIONATO,NO
ESCITALOPRAM SUN,MEDICAMENTO GENERICO,"SUN PHARMA LABORATORIOS, S.L",ALTA,ESCITALOPRAM OXALATO,NO
MANIDIPINO VIATRIS,MEDICAMENTO GENERICO,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,MANIDIPINO HIDROCLORURO,NO
GALANTAMINA SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",BAJA GENERAL,GALANTAMINA HIDROBROMURO,NO
YASNAL,MEDICAMENTO GENERICO,KRKA D.D. NOVO MESTO,ALTA,DONEPEZILO HIDROCLORURO,NO
CAPENON HCT,MEDICAMENTO ETICA,"DAIICHI SANKYO ESPAÑA, S.A.",ALTA,"HIDROCLOROTIAZIDA,OLMESARTAN MEDOXOMILO,AMLODIPINO BESILATO",NO
BALZAK PLUS,MEDICAMENTO ETICA,"MENARINI,S.A.",ALTA,"AMLODIPINO BESILATO,HIDROCLOROTIAZIDA,OLMESARTAN MEDOXOMILO",NO
VALSARTAN/HIDROCLOROTIAZIDA STADAGEN,MEDICAMENTO GENERICO,"STADA, S.L",ALTA,"VALSARTAN,HIDROCLOROTIAZIDA",NO
PRAREDUCT,MEDICAMENTO ETICA,"DAIICHI SANKYO ESPAÑA, S.A.",BAJA GENERAL,PRAVASTATINA SODICA,SI
ACIDO IBANDRONICO AUROVITAS SPAIN,MEDICAMENTO GENERICO,"AUROVITAS SPAIN, S.A.U",BAJA GENERAL,IBANDRONICO ACIDO,NO
COSOPT PF,MEDICAMENTO ETICA,SANTEN PHARMACEUTICAL SPAIN S L,BAJA GENERAL,"TIMOLOL MALEATO,DORZOLAMIDA HIDROCLORURO",NO
MANIDIPINO TEVA,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,MANIDIPINO DIHIDROCLORURO,NO
EMLA,MEDICAMENTO ETICA,"ASPEN PHARMACARE ESPAÑA, S.L.",ALTA,"LIDOCAINA,PRILOCAINA",NO
LEVOFLOXACINO MABO-FARMA,MEDICAMENTO GENERICO,"MABO-FARMA, S.A.",ALTA,LEVOFLOXACINO HEMIHIDRATO,NO
TAMSULOSINA VIATRIS PHARMACEUTICALS,MEDICAMENTO GENERICO,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,TAMSULOSINA HIDROCLORURO,NO
LAVESTRA HCT,MEDICAMENTO GENERICO,KRKA D.D. NOVO MESTO,ALTA,"LOSARTAN POTASICO,HIDROCLOROTIAZIDA",NO
LAVESTRA  HCT,MEDICAMENTO GENERICO,KRKA D.D. NOVO MESTO,ALTA,"HIDROCLOROTIAZIDA,LOSARTAN POTASICO",NO
IRBESARTAN/HIDROCLOROTIAZIDA STADA,MEDICAMENTO GENERICO,"STADA, S.L",ALTA,"HIDROCLOROTIAZIDA,IRBESARTAN",NO
CELLCEPT,MEDICAMENTO ETICA,"ROCHE FARMA, S.A.",ALTA,MICOFENOLATO DE MOFETILO,NO
IRBESARTAN/HIDROCLOROTIAZIDA STADA,MEDICAMENTO GENERICO,"STADA, S.L",ALTA,"IRBESARTAN,HIDROCLOROTIAZIDA",NO
ATORVASTATINA TARBIS,MEDICAMENTO GENERICO,"TARBIS FARMA, S.L.",ALTA,ATORVASTATINA CALCICA,NO
QUETIAPINA PENSA,MEDICAMENTO GENERICO,"TOWA PHARMACEUTICAL, S.A.",ALTA,QUETIAPINA FUMARATO,NO
LERCANIDIPINO APOTEX,MEDICAMENTO GENERICO,"APOTEX ESPAÑA, S.L",BAJA GENERAL,LERCANIDIPINO HIDROCLORURO,NO
ESPIDIFEN,MEDICAMENTO GENERICO,ZAMBON S.A.U.,ALTA,IBUPROFENO ARGININA,NO
KETOTIFENO FARMALIDER,MEDICAMENTO ETICA,FARMALIDER S.A.,ALTA,KETOTIFENO FUMARATO,NO
LAVESTRA HCT,MEDICAMENTO ETICA,KRKA D.D. NOVO MESTO,ALTA,"LOSARTAN POTASICO,HIDROCLOROTIAZIDA",NO
ANESTEAL,MEDICAMENTO ETICA,PIERRE FABRE IBERICA S.A.,BAJA GENERAL,"PRILOCAINA,LIDOCAINA",NO
DEFLAZACORT NORMON,MEDICAMENTO GENERICO,NORMON S.A.,ALTA,DEFLAZACORT,SI
IRBESARTAN/HIDROCLOROTIAZIDA QUALIGEN,MEDICAMENTO GENERICO,"NEURAXPHARM SPAIN, S.L.U",BAJA GENERAL,"IRBESARTAN,HIDROCLOROTIAZIDA",NO
IRBESARTAN/HIDROCLOROTIAZIDA QUALIGEN,MEDICAMENTO GENERICO,"NEURAXPHARM SPAIN, S.L.U",BAJA GENERAL,"HIDROCLOROTIAZIDA,IRBESARTAN",NO
DEFLAZACORT CINFA,MEDICAMENTO GENERICO,CINFA S.A.,ALTA,DEFLAZACORT,SI
LACIDIPINO TEVA,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,LACIDIPINO,SI
CANDESARTAN MABO,MEDICAMENTO GENERICO,"MABO-FARMA, S.A.",ALTA,CANDESARTAN CILEXETILO,NO
DEFLAZACORT PENSA,MEDICAMENTO GENERICO,"TOWA PHARMACEUTICAL, S.A.",BAJA POR NO COMERCIALIZAR,DEFLAZACORT,SI
DEFLAZACORT PENSA,MEDICAMENTO GENERICO,"TOWA PHARMACEUTICAL, S.A.",ALTA,DEFLAZACORT,SI
BUPREX,MEDICAMENTO ETICA,EUMEDICA PHARMACEUTICALS GMBH,ALTA,BUPRENORFINA HIDROCLORURO,NO
MOVALIS,MEDICAMENTO ETICA,"BOEHRINGER INGELHEIM ESPAÑA, S.A.",ALTA,MELOXICAM,NO
RABEPRAZOL TAD,MEDICAMENTO GENERICO,"KRKA FARMACEUTICA, S.L.",BAJA POR NO COMERCIALIZAR,RABEPRAZOL SODICO,NO
PARACETAMOL CODEINA LEVEL SOLUCION ORAL ,MEDICAMENTO ETICA,LABORATORIOS ERN S.A.,ALTA,"PARACETAMOL,CODEINA FOSFATO",NO
CALCIUMOSTEO D,MEDICAMENTO ETICA,"GLAXOSMITHKLINE CONSUMER HEALTHCARE, S.A.",SUSPENSION TEMPORAL GENERAL,"LACTOGLUCONATO CALCIO,COLECALCIFEROL,CALCIO CARBONATO",NO
CALCIUM-SANDOZ D,MEDICAMENTO ETICA,"GLAXOSMITHKLINE CONSUMER HEALTHCARE, S.A.",SUSPENSION TEMPORAL GENERAL,"LACTOGLUCONATO CALCIO,COLECALCIFEROL,CALCIO CARBONATO",NO
TELMISARTAN SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,TELMISARTAN,NO
TELMISARTAN SANDOZ ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,TELMISARTAN,NO
PLANTAGO OVATA LAINCO,MEDICAMENTO ETICA,"LAINCO, S.A.",ALTA,PLANTAGO OVATA FORSKK. SEMILLA CUTICULA,NO
VALSARTAN APOTEX,MEDICAMENTO GENERICO,"APOTEX ESPAÑA, S.L",BAJA GENERAL,VALSARTAN,NO
MONTELUKAST COMBIX,MEDICAMENTO GENERICO,"COMBIX, S.L.U",ALTA,MONTELUKAST SODICO,NO
VALSARTAN APOTEX ,MEDICAMENTO GENERICO,"APOTEX ESPAÑA, S.L",BAJA GENERAL,VALSARTAN,NO
MONTELUKAST COMBIX,MEDICAMENTO GENERICO,"COMBIX, S.L.U",BAJA GENERAL,MONTELUKAST SODICO,NO
NEBIVOLOL CINFA,MEDICAMENTO GENERICO,CINFA S.A.,ALTA,NEBIVOLOL HIDROCLORURO,NO
DOLOXITAL,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",ALTA,FENTANILO,NO
TRANALEX,MEDICAMENTO GENERICO,"ACCORD HEALTHCARE, S.L.U",ALTA,NALTREXONA HIDROCLORURO,NO
PANTOPRAZOL FARMALIDER,MEDICAMENTO GENERICO,FARMALIDER S.A.,SUSPENSION TEMPORAL GENERAL,PANTOPRAZOL,NO
PANTOPRAZOL FARMALIDER,MEDICAMENTO GENERICO,FARMALIDER S.A.,SUSPENSION TEMPORAL GENERAL,PANTOPRAZOL SODICO,NO
FLUCONAZOL AUROBINDO,MEDICAMENTO GENERICO,"AUROBINDO, S.L.U",BAJA GENERAL,FLUCONAZOL,NO
AMLODIPINO AUROBINDO,MEDICAMENTO GENERICO,"AUROBINDO, S.L.U",BAJA GENERAL,AMLODIPINO BESILATO,SI
LATANOPROST CINFA,MEDICAMENTO ETICA,CINFA S.A.,BAJA GENERAL,LATANOPROST,NO
TEGRETOL,MEDICAMENTO ETICA,NOVARTIS FARMACEUTICA S.A.,ALTA,CARBAMAZEPINA,SI
TRIALMIN,MEDICAMENTO ETICA,"MENARINI,S.A.",ALTA,GEMFIBROZILO,SI
QUETIAPINA COMBIX,MEDICAMENTO GENERICO,"COMBIX, S.L.U",ALTA,QUETIAPINA,NO
LERCANIDIPINO ARISTO,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",ALTA,LERCANIDIPINO HIDROCLORURO,NO
ZAMENE GOTAS,MEDICAMENTO ETICA,"MENARINI,S.A.",ALTA,DEFLAZACORT,SI
DEZACOR,MEDICAMENTO ETICA,"FAES FARMA, S.A.",ALTA,DEFLAZACORT,SI
DONEPEZILO STADA,MEDICAMENTO GENERICO,"STADA, S.L",ALTA,DONEPEZILO HIDROCLORURO,NO
RIVASTIGMINA COMBIX,MEDICAMENTO GENERICO,"COMBIX, S.L.U",BAJA POR NO COMERCIALIZAR,RIVASTIGMINA TARTRATO,NO
IRBESARTAN APOTEX AG,MEDICAMENTO GENERICO,"APOTEX ESPAÑA, S.L",BAJA GENERAL,IRBESARTAN,NO
VALSARTAN SUN,MEDICAMENTO GENERICO,"SUN PHARMA LABORATORIOS, S.L",ALTA,VALSARTAN,NO
CAPTOPRIL NORMON,MEDICAMENTO GENERICO,NORMON S.A.,ALTA,CAPTOPRIL,SI
CAPTOPRIL NORMON,MEDICAMENTO GENERICO,NORMON S.A.,BAJA GENERAL,CAPTOPRIL,SI
ZOLMITRIPTAN TEVA,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,ZOLMITRIPTAN,NO
ZOLMITRIPTAN TEVA,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",BAJA POR NO COMERCIALIZAR,ZOLMITRIPTAN,NO
CLOPIDOGREL AMNEAL,MEDICAMENTO GENERICO,"AMNEAL PHARMA SPAIN, S.L.",ALTA,CLOPIDOGREL,NO
DONEPEZILO COMBIX,MEDICAMENTO GENERICO,"COMBIX, S.L.U",ALTA,DONEPEZILO HIDROCLORURO,NO
ALFUZOSINA ARISTO,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",BAJA POR NO COMERCIALIZAR,ALFUZOSINA HIDROCLORURO,NO
LOPID,MEDICAMENTO ETICA,"PFIZER, S.L",ALTA,GEMFIBROZILO,SI
ANASTROZOL COMBIX,MEDICAMENTO GENERICO,"COMBIX, S.L.U",ALTA,ANASTROZOL,NO
REPAGLINIDA TARBIS,MEDICAMENTO GENERICO,"TARBIS FARMA, S.L.",ALTA,REPAGLINIDA,NO
CLARITROMICINA UNIDIA KERN PHARMA,MEDICAMENTO GENERICO,"KERN PHARMA, S.L.",ALTA,CLARITROMICINA CITRATO,NO
RISEDRONATO SEMANAL ACCORD,MEDICAMENTO GENERICO,"ACCORD HEALTHCARE, S.L.U",BAJA POR NO COMERCIALIZAR,RISEDRONATO SODIO,NO
RISEDRONATO SEMANAL RATIO,MEDICAMENTO GENERICO,RATIOPHARM ESPAÑA S.A.,BAJA GENERAL,RISEDRONATO SODIO,NO
RISEDRONATO ACCORD,MEDICAMENTO GENERICO,"ACCORD HEALTHCARE, S.L.U",SUSPENSION TEMPORAL GENERAL,RISEDRONATO SODIO,NO
ATORVASTATINA PHARMAKERN,MEDICAMENTO GENERICO,"KERN PHARMA, S.L.",ALTA,ATORVASTATINA CALCICA,NO
MICOFENOLATO MOFETILO NORMON,MEDICAMENTO GENERICO,NORMON S.A.,ALTA,MICOFENOLATO DE MOFETILO,NO
DICLOFENACO NORMON,MEDICAMENTO GENERICO,NORMON S.A.,ALTA,DICLOFENACO SODICO,NO
CARBOCAL D,MEDICAMENTO ETICA,"FARMASIERRA LABORATORIOS, S.L.",ALTA,"CALCIO CARBONATO,COLECALCIFEROL",NO
ACIDO IBANDRONICO APOTEX,MEDICAMENTO GENERICO,"AUROVITAS SPAIN, S.A.U",BAJA GENERAL,IBANDRONICO ACIDO,NO
ACIDO FUSIDICO ISDIN ,MEDICAMENTO ETICA,ISDIN S.A.,ALTA,FUSIDICO ACIDO,NO
REXER,MEDICAMENTO ETICA,"ORGANON SALUD, S.L.",ALTA,MIRTAZAPINA,NO
BETOPTIC SUSPENSION,MEDICAMENTO ETICA,IMMEDICA PHARMA AB,ALTA,BETAXOLOL HIDROCLORURO,SI
ATORVASTATINAPHARMAKERN,MEDICAMENTO GENERICO,"KERN PHARMA, S.L.",ALTA,ATORVASTATINA CALCICA,NO
PROGRAF,MEDICAMENTO ETICA,"ASTELLAS PHARMA, S.A",ALTA,TACROLIMUS,NO
ANAGASTRA,MEDICAMENTO ETICA,"TAKEDA FARMACEUTICA ESPAÑA, S.A",ALTA,PANTOPRAZOL,NO
TRAMADOL/PARACETAMOL SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,"PARACETAMOL,TRAMADOL HIDROCLORURO",NO
PANTECTA,MEDICAMENTO ETICA,"TAKEDA FARMACEUTICA ESPAÑA, S.A",BAJA POR NO COMERCIALIZAR,PANTOPRAZOL SODICO,NO
REPAGLINIDA COMBIX,MEDICAMENTO GENERICO,"COMBIX, S.L.U",ALTA,REPAGLINIDA,NO
PROCRIN TRIMESTRAL,MEDICAMENTO ETICA,"ABBVIE SPAIN, S.L.U.",BAJA GENERAL,LEUPRORELINA ACETATO,NO
PROCRIN MENSUAL,MEDICAMENTO ETICA,"ABBVIE SPAIN, S.L.U.",BAJA GENERAL,LEUPRORELINA ACETATO,NO
PROCRIN SEMESTRAL,MEDICAMENTO ETICA,"ABBVIE SPAIN, S.L.U.",ALTA,LEUPRORELINA ACETATO,NO
MONTELUKAST ALMUS,MEDICAMENTO GENERICO,"ALMUS FARMACEUTICA, S.A.U.",ALTA,MONTELUKAST SODICO,NO
REPAGLINIDA KERN PHARMA,MEDICAMENTO GENERICO,"KERN PHARMA, S.L.",ALTA,REPAGLINIDA,NO
MONTELUKAST ASTHMAPHARMA,MEDICAMENTO GENERICO,FARMALIDER S.A.,ALTA,MONTELUKAST SODICO,NO
REPAGLINIDA PENSA,MEDICAMENTO GENERICO,"TOWA PHARMACEUTICAL, S.A.",ALTA,REPAGLINIDA,NO
AMLODIPINO ACTAVIS,MEDICAMENTO GENERICO,"AUROVITAS SPAIN, S.A.U",BAJA GENERAL,AMLODIPINO BESILATO,SI
MONTELUKAST TECNIGEN,MEDICAMENTO GENERICO,TECNIMEDE ESPAÑA INDUSTRIA FARMACEUTICA S.A.,ALTA,MONTELUKAST SODICO,NO
FENTANILO MATRIX ARISTO,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",ALTA,FENTANILO,NO
ACIDO IBANDRONICO COMBIX,MEDICAMENTO GENERICO,"COMBIX, S.L.U",ALTA,IBANDRONICO ACIDO,NO
ACIDO IBANDRONICO TARBIS,MEDICAMENTO GENERICO,"TARBIS FARMA, S.L.",ALTA,IBANDRONICO ACIDO,NO
BETAHISTINA KERN PHARMA,MEDICAMENTO GENERICO,"KERN PHARMA, S.L.",ALTA,BETAHISTINA DIHIDROCLORURO,NO
RANITIDINA NORMON,MEDICAMENTO GENERICO,NORMON S.A.,BAJA GENERAL,RANITIDINA HIDROCLORURO,NO
ZOLMITRIPTAN TEVA,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",BAJA GENERAL,ZOLMITRIPTAN,NO
BREAKYL,MEDICAMENTO ETICA,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,FENTANILO CITRATO,NO
OXCARBAZEPINA TEVA,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",BAJA GENERAL,OXCARBAZEPINA,NO
MICOFENOLATO DE MOFETILO TECNIGEN,MEDICAMENTO GENERICO,TECNIMEDE ESPAÑA INDUSTRIA FARMACEUTICA S.A.,BAJA POR NO COMERCIALIZAR,MICOFENOLATO DE MOFETILO,NO
ESOMEPRAZOL MYLAN,MEDICAMENTO GENERICO,"VIATRIS PHARMACEUTICALS, S.L.U",BAJA GENERAL,ESOMEPRAZOL MAGNESICO,NO
IRBESARTAN TECNIGEN,MEDICAMENTO GENERICO,TECNIMEDE ESPAÑA INDUSTRIA FARMACEUTICA S.A.,ALTA,IRBESARTAN,NO
RABEPRAZOL APOTEX ,MEDICAMENTO GENERICO,"AUROVITAS SPAIN, S.A.U",BAJA POR NO COMERCIALIZAR,RABEPRAZOL SODICO,NO
RABEPRAZOL APOTEX,MEDICAMENTO GENERICO,"AUROVITAS SPAIN, S.A.U",BAJA POR NO COMERCIALIZAR,RABEPRAZOL SODICO,NO
DONEPEZILO ALTER,MEDICAMENTO GENERICO,ALTER S.A.,ALTA,DONEPEZILO HIDROCLORURO,NO
MONTELUKAST NORMON,MEDICAMENTO GENERICO,NORMON S.A.,ALTA,MONTELUKAST SODICO,NO
ANASTROZOL ARISTO,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",BAJA POR NO COMERCIALIZAR,ANASTROZOL,NO
LEFLUARTIL,MEDICAMENTO GENERICO,"ARAFARMA GROUP, S.A",ALTA,LEFLUNOMIDA,NO
LIXBEN,MEDICAMENTO GENERICO,ALTER S.A.,ALTA,DONEPEZILO HIDROCLORURO,NO
GLUCOSA,MEDICAMENTO ETICA,BIOMENDI S.A.,ALTA,GLUCOSA ANHIDRA,NO
MONTELUKAST CINFA,MEDICAMENTO GENERICO,CINFA S.A.,ALTA,MONTELUKAST SODICO,NO
MONTELUKAST CINFA,MEDICAMENTO GENERICO,CINFA S.A.,SUSPENSION TEMPORAL GENERAL,MONTELUKAST SODICO,NO
IBUPROFENO PENSA PHARMA,MEDICAMENTO GENERICO,"TOWA PHARMACEUTICAL, S.A.",ALTA,IBUPROFENO,NO
IBUPROFENO AUROVITAS,MEDICAMENTO GENERICO,"AUROVITAS SPAIN, S.A.U",ALTA,IBUPROFENO,NO
