SERVICIO,DESCRIPCIO,PIEZAS SOLICITADAS,PRECIO UNITARIO
TERAPIA INTENSIVA PEDIATRICA,FUROSEMIDA,3,3.56
TERAPIA INTENSIVA PEDIATRICA,VANCOMICINA,3,46.68
TERAPIA INTENSIVA PEDIATRICA,OMEPRAZOL,1,54.16
TERAPIA INTENSIVA PEDIATRICA,PARACETAMOL,2,129.68
TERAPIA INTENSIVA PEDIATRICA,FUROSEMIDA,1,3.56
TERAPIA INTENSIVA PEDIATRICA,CEFTRIAXONA,2,13.99
TERAPIA INTENSIVA PEDIATRICA,CLINDAMICINA,4,5.27
URGENCIAS,DIGOXINA,1,0.75
PEDIATRIA CLINICA,ACIDO VALPROICO ,3,542.91
ORTOPEDIA,PARACETAMOL,4,129.68
ORTOPEDIA,AMOXICILINA/CLAVULATO,12,4.6
CIRUGIA GENERAL,ACIDO VALPROICO,18,4.46
MEDICINA INTERNA,CIPROFLOXACINO,8,0.7
AREA DE CHOQUE,VANCOMICINA,3,46.68
URGENCIAS,CLARITROMICINA,3,645.77
TERAPIA INTENSIVA,TRIMETOPRIMA/SULFAMETOXAZOL,1,0.5
MEDICINA INTERNA,INSULINA LISPRO,3,207.86
UNIDAD TOCOQUIRURGICA,OXITOCINA SINTETICA,100,3.73
MEDICINA INTERNA,METAMIZOL,4,0.5
MEDICINA INTERNA,METILPREDNISOLONA,3,146.07
MEDICINA INTERNA,ESPIRONOLACTONA,3,12.12
URGENCIAS,LOPERAMIDA,5,0.44
URGENCIAS,LOPERAMIDA,4,0.44
UROLOGIA,NIFEDIPINO,4,1.2
CIRUGIA GENERAL,PARACETAMOL,52,129.68
CIRUGIA GENERAL,METOCLOPRAMIDA,15,1.64
AREA DE CHOQUE,ONDANSETRON,0,3.18
AREA DE CHOQUE,LOPERAMIDA,6,0.44
URGENCIAS,GLUCONATO DE CALCIO AL,50,4.16
UNIDAD TOCOQUIRURGICA,PARACETAMOL,12,129.68
UNIDAD TOCOQUIRURGICA,LIDOCAINA/EPINEFRINA AL,5,115.38
CIRUGIA GENERAL,TIAMINA SOLUCION INYECTABLE. CADA FRASCO AMPULA CON LIOFILIZADO CONTI,4,25.24
UROLOGIA,SENOSIDOS A - B,4,0.79
CIRUGIA PLASTICA Y RECONSTRUCTIVA,SENOSIDOS A - B,4,0.79
URGENCIAS,EPINEFRINA,7,5.73
URGENCIAS,ATROPINA SULFATO DE,1,2.84
NEONATOLOGIA,AMFOTERICINA B,3,400.19
URGENCIAS,NITROGLICERINA,6,205.98
URGENCIAS,NITROGLICERINA,2,205.98
URGENCIAS,VASOPRESINA,3,339.86
URGENCIAS,ROCURONIO BROMURO DE,2,72.29
SUBDIRECCION DE ENFERMERIA,PRAZOSINA,4,0.53
MEDICINA INTERNA,AMIODARONA,15,44.01
MEDICINA INTERNA,OMEPRAZOL,20,0.4
AREA DE CHOQUE,NOREPINEFRINA,8,71.17
URGENCIAS,LOPERAMIDA,3,0.44
TERAPIA INTENSIVA,GLUCOSA AL,4,33.65
TERAPIA INTENSIVA,METOCLOPRAMIDA,2,1.64
AREA DE CHOQUE,CEFTRIAXONA,4,13.99
AREA DE CHOQUE,ACIDO ACETILSALICILICO,1,0.38
MEDICINA INTERNA,METRONIDAZOL,4,14.35
AREA DE CHOQUE,TRAMADOL,2,22.99
MEDICINA INTERNA,LEVETIRACETAM ,12,20.1
MEDICINA INTERNA,DOXICICLINA,0,5.48
MEDICINA INTERNA,FLUCONAZOL,11,84.79
MEDICINA INTERNA,FENITOINA SODICA,3,13.54
ORTOPEDIA,TRIMETOPRIM/SULFAMETOXAZOL,6,11.5
CIRUGIA GENERAL,LEVETIRACETAM ,12,20.1
MEDICINA INTERNA,TRIMETOPRIMA/SULFAMETOXAZOL,0,0.5
AREA DE CHOQUE,TRIMETOPRIM/SULFAMETOXAZOL,6,11.5
MEDICINA INTERNA,TRIMETOPRIMA/SULFAMETOXAZOL,20,0.5
URGENCIAS,LINEZOLID,4,287.5
CIRUGIA PLASTICA Y RECONSTRUCTIVA,CEFTAZIDIMA  PENTAHIDRATADA,2,23.37
ORTOPEDIA,CEFALOTINA SODICA,1,24.71
AREA DE CHOQUE,METOPROLOL,1,0.44
TERAPIA INTENSIVA PEDIATRICA,DEXMEDETOMIDINA,1,337.37
UNIDAD TOCOQUIRURGICA,ALFA-METILDOPA,5,0.82
URGENCIAS PEDIATRICAS,LORATADINA,1,46
URGENCIAS,NITROPRUSIATO,0,7064.74
URGENCIAS,PREDNISONA,1,2.5
URGENCIAS PEDIATRICAS,BIPERIDENO,3,1.03
MEDICINA INTERNA,ACIDO VALPROICO,0,4.46
URGENCIAS,NITROGLICERINA,3,205.98
CIRUGIA GENERAL,FLUMAZENIL,1,276.92
MEDICINA INTERNA,ACIDO FOLICO,2,0.35
CIRUGIA GENERAL,PROPOFOL,1,1230.2
CIRUGIA GENERAL,DEXAMETASONA FOSFATO SODICO DE,1,8.17
TERAPIA INTENSIVA PEDIATRICA,INMUNOGLOBULINA HUMANA NORMAL ,8,12115.38
URGENCIAS,CIPROFLOXACINO,3,5.75
MEDICINA INTERNA,DEXMEDETOMIDINA,5,337.37
ENDOSCOPIA,CEFTRIAXONA,1,13.99
ENDOSCOPIA,METRONIDAZOL,1,14.35
MEDICINA INTERNA,PREDNISONA,3,2.5
TERAPIA INTENSIVA PEDIATRICA,DEXMEDETOMIDINA,2,337.37
UROLOGIA,CEFALOTINA SODICA,2,24.71
URGENCIAS,CASPOFUNGINA,2,1166.67
AREA DE CHOQUE,ACIDO VALPROICO ,5,542.91
PEDIATRIA CLINICA,BENCILPENICILINA SODICA CRISTALINA,4,20.31
URGENCIAS,BICARBONATO DE SODIO,1,5.15
URGENCIAS,AMIODARONA,4,44.01
URGENCIAS,CLORURO DE POTASIO,1,1.82
NEONATOLOGIA,FENITOINA SODICA,20,13.54
NEONATOLOGIA,GLUCONATO DE CALCIO AL,15,4.16
NEONATOLOGIA,HEPARINA SODICA,2,70
NEONATOLOGIA,LEVOTIROXINA SODICA,20,6.28
NEONATOLOGIA,METOCLOPRAMIDA,20,1.64
NEONATOLOGIA,OMEPRAZOL,10,0.4
NEONATOLOGIA,OMEPRAZOL,20,54.16
NEONATOLOGIA,PARACETAMOL,4,129.68
UNIDAD TOCOQUIRURGICA,BUPIVACAINA GLUCOSA,10,15.5
GINECO OBSTETRICIA,ONDANSETRON,20,50
GINECO OBSTETRICIA,INSULINA HUMANA ACCION INTERMEDIA (N.P.H.),1,56.8
GINECO OBSTETRICIA,LIDOCAINA SPRAY,1,127.95
GINECO OBSTETRICIA,LIDOCAINA,1,27.49
GINECO OBSTETRICIA,DEXAMETASONA FOSFATO SODICO DE,20,8.17
ENDOSCOPIA,PARACETAMOL,10,0.39
ENDOSCOPIA,METAMIZOL,20,2.91
ENDOSCOPIA,ESMOLOL,1,4166.67
ENDOSCOPIA,OMEPRAZOL,10,54.16
ENDOSCOPIA,KETOROLACO,30,2.68
ENDOSCOPIA,ADENOSINA,3,250.43
ENDOSCOPIA,AMIODARONA,4,44.01
ENDOSCOPIA,PARACETAMOL,10,129.68
URGENCIAS,ADENOSINA,10,250.43
URGENCIAS,VASOPRESINA,5,339.86
PEDIATRIA CLINICA,CLINDAMICINA,3,14.33
TERAPIA INTENSIVA,DEXMEDETOMIDINA,8,337.37
CIRUGIA PLASTICA Y RECONSTRUCTIVA,DOXICICLINA,3,5.48
AREA DE CHOQUE,FENITOINA SODICA,2,13.54
PEDIATRIA CLINICA,BENCILPENICILINA SODICA CRISTALINA,4,8.7
PEDIATRIA CLINICA,METILPREDNISOLONA,2,28.13
URGENCIAS,CEFTRIAXONA,12,13.99
URGENCIAS,LINEZOLID,0,287.5
MEDICINA INTERNA,TRAMADOL,1,22.99
MEDICINA INTERNA,AMPICILINA SODICA,14,13.31
MEDICINA INTERNA,ENOXAPARINA,0,42.15
MEDICINA INTERNA,ATORVASTATINA,1,3.4
GINECO OBSTETRICIA,BETAMETASONA ACETATO DE,3,313.75
TERAPIA INTENSIVA,TRIMETOPRIMA/SULFAMETOXAZOL,2,0.5
TERAPIA INTENSIVA,GLUCOSA AL,3,33.65
GINECO OBSTETRICIA,BETAMETASONA ACETATO DE,1,313.75
MEDICINA INTERNA,TRIMETOPRIMA/SULFAMETOXAZOL,1,0.5
MEDICINA INTERNA,HALOPERIDOL,3,1.28
MEDICINA INTERNA,ENOXAPARINA,4,42.15
CIRUGIA GENERAL,CLORURO DE POTASIO,1,1.82
AREA DE CHOQUE,MULTIVITAMINICO B,2,77.47
GINECO OBSTETRICIA,PARACETAMOL,20,0.39
QUIROFANOS,OMEPRAZOL,20,54.16
QUIROFANOS,PARACETAMOL,24,129.68
QUIROFANOS,TRAMADOL,20,22.99
QUIROFANOS,KETOROLACO,30,2.68
URGENCIAS PEDIATRICAS,FITOMENADIONA,6,8.03
URGENCIAS GINECOBSTETRICAS,NIFEDIPINO,10,0.87
URGENCIAS GINECOBSTETRICAS,PARACETAMOL,2,129.68
QUIROFANOS,DOBUTAMINA,2,26.98
QUIROFANOS,ESMOLOL,1,4166.67
ANESTESIOLOGIA,PARACETAMOL,40,129.68
ANESTESIOLOGIA,ROPIVACAINA ,50,97.98
DISPENSADOR 3 TERAPIA INTENSIVA ADULTOS,GLUCONATO DE CALCIO AL,13,4.16
DISPENSADOR 3 TERAPIA INTENSIVA ADULTOS,HIDROCORTISONA SUCCINATO SODICO DE,6,23.02
DISPENSADOR 3 TERAPIA INTENSIVA ADULTOS,METILPREDNISOLONA,4,146.07
DISPENSADOR 3 TERAPIA INTENSIVA ADULTOS,SULFATO  DE  MAGNESIO,27,5.31
UNIDAD TOCOQUIRURGICA,CEFTRIAXONA,3,13.99
TERAPIA INTENSIVA PEDIATRICA,NEOMICINA,4,5.13
TERAPIA INTENSIVA PEDIATRICA,LEVETIRACETAM ,1,1245.84
URGENCIAS,FENITOINA SODICA,5,13.54
TERAPIA INTENSIVA PEDIATRICA,NEOMICINA,1,5.13
MEDICINA INTERNA,ACIDO VALPROICO ,2,542.91
MEDICINA INTERNA,ONDANSETRON,2,3.18
MEDICINA INTERNA,FENITOINA SODICA,4,0.38
TERAPIA INTENSIVA PEDIATRICA,NEOMICINA,8,5.13
MEDICINA INTERNA,TOPIRAMATO,8,2.62
MEDICINA INTERNA,ACIDO VALPROICO,3,4.46
CIRUGIA GENERAL,SULFATO  DE  MAGNESIO,2,5.31
TERAPIA INTENSIVA PEDIATRICA,HEPARINA SODICA,2,37.28
URGENCIAS,KETOROLACO,18,2.68
URGENCIAS,ONDANSETRON,18,50
URGENCIAS,TRAMADOL,25,22.99
CIRUGIA PLASTICA Y RECONSTRUCTIVA,KETOROLACO,2,2.68
TERAPIA INTENSIVA PEDIATRICA,DEXAMETASONA FOSFATO SODICO DE,3,8.17
CIRUGIA GENERAL,CEFALOTINA SODICA,5,24.71
CIRUGIA GENERAL,PARACETAMOL,4,0.39
OTORRINOLARINGOLOGIA,ADENOSINA,3,250.43
OTORRINOLARINGOLOGIA,AMIODARONA,3,44.01
OTORRINOLARINGOLOGIA,FUROSEMIDA,3,3.56
ANESTESIOLOGIA,ATROPINA SULFATO DE,100,2.84
ANESTESIOLOGIA,BUTILHIOSCINA,100,5.43
DISPENSADOR 3 TERAPIA INTENSIVA ADULTOS,FENITOINA SODICA,6,13.54
UROLOGIA,AMIKACINA SULFATO DE,0,4.79
UROLOGIA,BUTILHIOSCINA,15,5.43
UROLOGIA,BETAMETASONA,0,43.93
URGENCIAS,BICARBONATO DE SODIO,100,5.15
URGENCIAS,NOREPINEFRINA,30,71.17
ENDOSCOPIA,CEFALOTINA SODICA,1,24.71
GINECO OBSTETRICIA,METRONIDAZOL,3,0.44
GINECO OBSTETRICIA,PARACETAMOL,4,0.39
GINECO OBSTETRICIA,METOPROLOL,2,0.44
URGENCIAS,OMEPRAZOL,2,0.4
AREA DE CHOQUE,TRAMADOL,1,22.99
MEDICINA INTERNA,METRONIDAZOL,6,14.35
UROLOGIA,MEROPENEM,2,316.67
UROLOGIA,ENOXAPARINA,0,37.24
UROLOGIA,METOCLOPRAMIDA,3,1.64
MEDICINA INTERNA,TOPIRAMATO,0,7.5
GINECO OBSTETRICIA,PARACETAMOL,3,129.68
MEDICINA INTERNA,FLUCONAZOL,0,216.62
TERAPIA INTENSIVA PEDIATRICA,INMUNOGLOBULINA HUMANA NORMAL ,9,12115.38
ORTOPEDIA,ACIDO ACETILSALICILICO,1,0.38
ORTOPEDIA,AMOXICILINA/CLAVULATO,0,4.6
GINECO OBSTETRICIA,LACTULOSA,1,71.4
TERAPIA INTENSIVA,PRAZOSINA,3,0.53
TERAPIA INTENSIVA,FENITOINA SODICA,2,13.54
AREA DE CHOQUE,ACIDO VALPROICO ,4,542.91
AREA DE CHOQUE,PAROXETINA,1,1.24
AREA DE CHOQUE,PREGABALINA,1,0.84
AREA DE CHOQUE,ESPIRONOLACTONA,2,0.97
AREA DE CHOQUE,OMEPRAZOL,4,54.16
AREA DE CHOQUE,KETOROLACO,3,2.68
MEDICINA INTERNA,FENITOINA SODICA,5,0.38
MEDICINA INTERNA,LEVETIRACETAM ,3,20.1
URGENCIAS,CASPOFUNGINA,1,1166.67
URGENCIAS,TERLIPRESINA,1,724.58
URGENCIAS,ONDANSETRON,1,50
URGENCIAS,PREDNISONA,1,1.42
URGENCIAS,ENOXAPARINA,0,37.24
URGENCIAS GINECOBSTETRICAS,SULFATO  DE  MAGNESIO,20,5.31
URGENCIAS GINECOBSTETRICAS,HIDRALAZINA,5,100
URGENCIAS,NITROPRUSIATO,1,7064.74
URGENCIAS,TRIMETOPRIM/SULFAMETOXAZOL,4,11.5
URGENCIAS,PARACETAMOL,15,0.39
TERAPIA INTENSIVA PEDIATRICA,NEOMICINA,10,5.13
NEONATOLOGIA,MEROPENEM,3,316.67
NEONATOLOGIA,VANCOMICINA,1,46.68
TERAPIA INTENSIVA,AMIKACINA SULFATO DE,6,3.22
ORTOPEDIA,CLINDAMICINA,3,5.27
CIRUGIA GENERAL,HALOPERIDOL,5,12.3
UROLOGIA (CONSULTA),BETAMETASONA ACETATO DE,10,313.75
QUIROFANOS,LIDOCAINA/EPINEFRINA AL,5,115.38
MEDICINA INTERNA,TRAMADOL,5,22.99
MEDICINA INTERNA,ACIDO VALPROICO ,1,542.91
QUIROFANOS,OXIMETAZOLINA,5,60.62
QUIROFANOS,LIDOCAINA Y EPINEFRINA AL,0,5.5
ORTOPEDIA (CONSULTA),BETAMETASONA ACETATO DE,10,313.75
PEDIATRIA CLINICA,GLUCONATO DE CALCIO AL,30,4.16
PEDIATRIA CLINICA,TRAMADOL,10,22.99
MEDICINA INTERNA,ADENOSINA,3,250.43
MEDICINA INTERNA,AMIODARONA,6,44.01
MEDICINA INTERNA,ATROPINA SULFATO DE,3,2.84
MEDICINA INTERNA,VECURONIO BROMURO DE ,3,29.85
MEDICINA INTERNA,GLUCONATO DE CALCIO AL,3,4.16
MEDICINA INTERNA,METILPREDNISOLONA,1,146.07
MEDICINA INTERNA,NITROGLICERINA,1,205.98
MEDICINA INTERNA,ESMOLOL,1,4166.67
MEDICINA INTERNA,FENITOINA SODICA,1,13.54
MEDICINA INTERNA,LIDOCAINA SPRAY,1,127.95
MEDICINA INTERNA,FOSFATO DE POTASIO,50,14.61
URGENCIAS,DEXAMETASONA,1,495.65
AREA DE CHOQUE,NIFEDIPINO,1,1.2
UROLOGIA,ENOXAPARINA,0,56.15
UROLOGIA,TRAMADOL,2,22.99
AREA DE CHOQUE,METRONIDAZOL,3,0.44
CIRUGIA GENERAL,CEFALOTINA SODICA,6,24.71
CIRUGIA GENERAL,ACIDO VALPROICO,0,4.46
ORTOPEDIA,CLINDAMICINA,3,14.33
URGENCIAS,HIDROCORTISONA SUCCINATO SODICO DE,4,23.02
URGENCIAS,NITROPRUSIATO,2,7064.74
GINECO OBSTETRICIA,METFORMINA,1,0.36
GINECO OBSTETRICIA,LEVOTIROXINA SODICA,1,6.28
PEDIATRIA CLINICA,ACIDO VALPROICO,9,4.46
TERAPIA INTENSIVA PEDIATRICA,RISPERIDONA,1,243.45
TERAPIA INTENSIVA PEDIATRICA,LACTULOSA,2,71.4
TERAPIA INTENSIVA,TRIMETOPRIMA/SULFAMETOXAZOL,4,0.5
URGENCIAS,LINEZOLID,6,287.5
QUIROFANOS,AMIKACINA SULFATO DE,6,4.79
MEDICINA INTERNA,TRIMETOPRIM/SULFAMETOXAZOL,3,11.5
MEDICINA INTERNA,LEVETIRACETAM ,5,20.1
MEDICINA INTERNA,FLUCONAZOL,1,216.62
MEDICINA INTERNA,FUROSEMIDA,1,3.56
TERAPIA INTENSIVA PEDIATRICA,NEOMICINA,25,5.13
ORTOPEDIA,DOXICICLINA,4,5.48
URGENCIAS PEDIATRICAS,CEFOTAXIMA,1,19.51
URGENCIAS PEDIATRICAS,CLINDAMICINA,1,5.27
URGENCIAS,DOXICICLINA,4,5.48
TERAPIA INTENSIVA,AMPICILINA SODICA,2,13.31
ORTOPEDIA,CLINDAMICINA,2,14.33
UNIDAD TOCOQUIRURGICA,CEFALOTINA SODICA,3,24.71
CIRUGIA PLASTICA Y RECONSTRUCTIVA,CLORURO DE POTASIO,20,1.82
CIRUGIA PLASTICA Y RECONSTRUCTIVA,DOXICICLINA,0,5.48
UNIDAD TOCOQUIRURGICA,PARACETAMOL,5,0.39
UNIDAD TOCOQUIRURGICA,KETOROLACO,5,1.8
CIRUGIA GENERAL,PARACETAMOL,5,0.39
CIRUGIA GENERAL,OMEPRAZOL,4,0.4
URGENCIAS,CLORURO DE BENZALCONIO,2,24.44
CIRUGIA GENERAL,ACIDO VALPROICO,60,4.46
TERAPIA INTENSIVA PEDIATRICA,TIAMINA SOLUCION INYECTABLE. CADA FRASCO AMPULA CON LIOFILIZADO CONTI,2,25.24
TERAPIA INTENSIVA PEDIATRICA,DEXAMETASONA FOSFATO SODICO DE,10,8.17
ANESTESIOLOGIA,ACIDO AMINOCAPROICO,10,137.23
UNIDAD TOCOQUIRURGICA,LIDOCAINA,10,27.49
UNIDAD TOCOQUIRURGICA,LIDOCAINA SPRAY,4,127.95
UNIDAD TOCOQUIRURGICA,LIDOCAINA/EPINEFRINA AL,10,115.38
AREA DE CHOQUE,SULFATO  DE  MAGNESIO,15,5.31
AREA DE CHOQUE,FOSFATO DE POTASIO,30,14.61
AREA DE CHOQUE,CAPTOPRIL,15,0.15
AREA DE CHOQUE,PARACETAMOL,15,0.39
AREA DE CHOQUE,NIFEDIPINO,15,1.2
AREA DE CHOQUE,ONDANSENTRON ,15,12
AREA DE CHOQUE,AMBROXOL,1,6.48
GINECO OBSTETRICIA,ONDANSENTRON ,10,12
CIRUGIA GENERAL,PARACETAMOL,48,129.68
CIRUGIA GENERAL,METRONIDAZOL,0,14.35
CIRUGIA GENERAL,OMEPRAZOL,12,54.16
CIRUGIA GENERAL,MULTIVITAMINICO B,6,77.47
CIRUGIA GENERAL,METOCLOPRAMIDA,10,1.64
UNIDAD TOCOQUIRURGICA,FUROSEMIDA,5,3.56
UNIDAD TOCOQUIRURGICA,OMEPRAZOL,4,54.16
ANESTESIOLOGIA,PARACETAMOL,50,129.68
ANESTESIOLOGIA,OMEPRAZOL,50,54.16
ANESTESIOLOGIA,DESMOPRESINA,10,319.09
ANESTESIOLOGIA,CLONIDINA,20,34.61
CIRUGIA PLASTICA Y RECONSTRUCTIVA,DIFENIDOL,1,0.23
GINECO OBSTETRICIA,CEFTRIAXONA,1,13.99
GINECO OBSTETRICIA,METRONIDAZOL,1,14.35
URGENCIAS,MULTIVITAMINICO B,1,77.47
CIRUGIA GENERAL,OMEPRAZOL,2,8.84
CIRUGIA PLASTICA Y RECONSTRUCTIVA,CLINDAMICINA,1,14.33
QUIROFANOS,AMIODARONA,1,44.01
QUIROFANOS,ESMOLOL,0,337.5
AREA DE CHOQUE,TRAMADOL,10,22.99
AREA DE CHOQUE,HEPARINA SODICA,1,37.28
AREA DE CHOQUE,ACIDO ASCORBICO,5,21.89
PEDIATRIA CLINICA,ACETAZOLAMIDA,1,16.47
AREA DE CHOQUE,MULTIVITAMINICO B,3,77.47
AREA DE CHOQUE,CIPROFLOXACINO,3,19
TERAPIA INTENSIVA,PIPERACILINA/TAZOBACTAM,1,73.06
AREA DE CHOQUE,PARACETAMOL,7,129.68
CIRUGIA GENERAL,TIAMINA SOLUCION INYECTABLE. CADA FRASCO AMPULA CON LIOFILIZADO CONTI,5,25.24
MEDICINA INTERNA,ESPIRONOLACTONA,4,0.97
NEONATOLOGIA,AMIKACINA SULFATO DE,1,4.79
CIRUGIA GENERAL,FENITOINA SODICA,3,13.54
AREA DE CHOQUE,VANCOMICINA,5,46.68
URGENCIAS PEDIATRICAS,CLORFENAMINA,10,29.43
URGENCIAS PEDIATRICAS,HIDROCORTISONA,0,158.03
URGENCIAS GINECOBSTETRICAS,TRAMADOL,10,22.99
ANESTESIOLOGIA,PROPOFOL,20,1230.2
ANESTESIOLOGIA,SALBUTAMOL,20,26.92
ANESTESIOLOGIA,CLORFENAMINA,50,29.43
ANESTESIOLOGIA,FUROSEMIDA,50,3.56
URGENCIAS,SULFATO  DE  MAGNESIO,10,5.31
URGENCIAS,CLORURO DE BENZALCONIO,1,24.44
MEDICINA INTERNA,METOPROLOL,4,0.44
QUIROFANOS,HIDROCORTISONA SUCCINATO SODICO DE,5,23.02
QUIROFANOS,TRAMADOL,30,22.99
QUIROFANOS,FOSFATO DE POTASIO,5,14.61
QUIROFANOS,PRAZOSINA,5,0.53
QUIROFANOS,PARACETAMOL,12,129.68
URGENCIAS PEDIATRICAS,CEFOTAXIMA,3,19.51
AREA DE CHOQUE,DOXICICLINA,4,5.48
CIRUGIA GENERAL,FUROSEMIDA,3,3.56
TERAPIA INTENSIVA PEDIATRICA,VANCOMICINA,8,46.68
MEDICINA INTERNA,HALOPERIDOL,3,12.3
TERAPIA INTENSIVA,LEVETIRACETAM ,3,20.1
AREA DE CHOQUE,SERO ALBUMINA HUMANA,3,669.6
AREA DE CHOQUE,ESPIRONOLACTONA,3,12.12
AREA DE CHOQUE,PROPRANOLOL,3,0.32
GINECO OBSTETRICIA,CEFALOTINA SODICA,3,24.71
AREA DE CHOQUE,DEXMEDETOMIDINA,8,337.37
UROLOGIA,LACTULOSA,2,71.4
MEDICINA INTERNA,TOPIRAMATO,12,2.62
TERAPIA INTENSIVA,PARACETAMOL,1,129.68
TERAPIA INTENSIVA,AMIKACINA SULFATO DE,4,3.22
GINECO OBSTETRICIA,CEFTRIAXONA  ,2,29.54
GINECO OBSTETRICIA,NIFEDIPINO,1,1.2
ORTOPEDIA,NIFEDIPINO,1,1.2
ORTOPEDIA,KETOROLACO,4,2.68
TERAPIA INTENSIVA PEDIATRICA,MEROPENEM,3,316.67
TERAPIA INTENSIVA PEDIATRICA,NEOMICINA,3,5.13
TERAPIA INTENSIVA PEDIATRICA,NEOMICINA,20,5.13
UROLOGIA (CONSULTA),CEFALOTINA SODICA,3,24.71
URGENCIAS,HALOPERIDOL,3,12.3
URGENCIAS,CASPOFUNGINA,4,1166.67
URGENCIAS,TRIMETOPRIM/SULFAMETOXAZOL,5,11.5
URGENCIAS,CEFEPIME ,5,50.64
CIRUGIA GENERAL,RISPERIDONA,2,243.45
CIRUGIA GENERAL,LOPERAMIDA,8,0.44
URGENCIAS,ACIDO URSODEOXICOLICO,3,6.04
URGENCIAS PEDIATRICAS,CEFALOTINA SODICA,3,24.71
URGENCIAS,LOPERAMIDA,6,0.44
URGENCIAS,ACIDO ACETILSALICILICO,2,0.38
URGENCIAS,ACETILCISTEINA,6,126.1
TERAPIA INTENSIVA,SULFATO  DE  MAGNESIO,30,5.31
TERAPIA INTENSIVA,CLORURO DE POTASIO,30,1.82
TERAPIA INTENSIVA,FOSFATO DE POTASIO,30,14.61
TERAPIA INTENSIVA,INSULINA LISPRO,1,207.86
ENDOSCOPIA,EFEDRINA,0,38.95
ENDOSCOPIA,INDOMETACINA,20,5.84
ENDOSCOPIA,METOCLOPRAMIDA,18,1.64
ENDOSCOPIA,CLORURO DE BENZALCONIO,5,24.44
DISPENSADOR 3 TERAPIA INTENSIVA ADULTOS,HIDROCORTISONA SUCCINATO SODICO DE,0,23.02
DISPENSADOR 3 TERAPIA INTENSIVA ADULTOS,OMEPRAZOL,11,54.16
URGENCIAS PEDIATRICAS,BUPRENORFINA,6,5.1
URGENCIAS PEDIATRICAS,MIDAZOLAM,5,16
CIRUGIA GENERAL,CLONAZEPAM,1,42.37
OFTALMOLOGIA (HOSPITALIZACION),HIALURONATO DE SODIO AL,4,873.34
QUIROFANOS,SERO ALBUMINA HUMANA,8,669.6
URGENCIAS PEDIATRICAS,AMIODARONA,1,44.01
URGENCIAS GINECOBSTETRICAS,ADENOSINA,3,250.43
URGENCIAS GINECOBSTETRICAS,NITROGLICERINA,1,205.98
PEDIATRIA CLINICA,PREDNISONA,10,2.5
PEDIATRIA CLINICA,TIAMINA SOLUCION INYECTABLE. CADA FRASCO AMPULA CON LIOFILIZADO CONTI,4,25.24
MEDICINA INTERNA,SERTRALINA,5,0.83
GINECO OBSTETRICIA,KETOROLACO,40,2.68
GINECO OBSTETRICIA,PARACETAMOL,24,129.68
REHABILITACION,"TOXINA BOTULINICA TIPO A""  ",1,6715.1
CIRUGIA GENERAL,PROPRANOLOL,1,0.32
CIRUGIA GENERAL,FOSFATO DE POTASIO,3,14.61
CIRUGIA GENERAL,LEVETIRACETAM ,2,20.1
URGENCIAS GINECOBSTETRICAS,METRONIDAZOL,1,14.35
UROLOGIA,OMEPRAZOL,1,8.84
QUIROFANOS,POLIMIXIMA/NEOMICINA,5,42.7
OFTALMOLOGIA (HOSPITALIZACION),MOXIFLOXACINO AL,10,486.39
TERAPIA INTENSIVA,OCTREOTIDA,1,455.14
MEDICINA INTERNA,ACICLOVIR SODICO,6,117.7
TERAPIA INTENSIVA,METOPROLOL,10,0.44
TERAPIA INTENSIVA,IMIPENEM Y CILASTATINA,3,80.84
URGENCIAS,FLUCONAZOL,1,84.79
URGENCIAS,AMPICILINA SODICA,24,13.31
CIRUGIA GENERAL,NEOMICINA,20,5.13
MEDICINA INTERNA,DEXMEDETOMIDINA,6,337.37
URGENCIAS,OMEPRAZOL,4,0.4
UNIDAD TOCOQUIRURGICA,HIDROCORTISONA SUCCINATO SODICO DE,5,23.02
UNIDAD TOCOQUIRURGICA,METOCLOPRAMIDA,18,1.64
URGENCIAS,ACIDO ACETILSALICILICO,8,0.59
ORTOPEDIA (CONSULTA),KETOROLACO,30,2.68
ORTOPEDIA (CONSULTA),DEXAMETASONA FOSFATO SODICO DE,20,8.17
ORTOPEDIA (CONSULTA),TRAMADOL,30,22.99
AREA DE CHOQUE,CEFOTAXIMA,8,19.51
TERAPIA INTENSIVA,PRAZOSINA,12,0.53
TERAPIA INTENSIVA,METOPROLOL,1,0.44
ORTOPEDIA,ONDANSENTRON ,3,12
TERAPIA INTENSIVA PEDIATRICA,AMIKACINA SULFATO DE,2,3.22
TERAPIA INTENSIVA PEDIATRICA,CLINDAMICINA,3,5.27
TERAPIA INTENSIVA PEDIATRICA,CEFOTAXIMA,3,19.51
GINECO OBSTETRICIA,FUROSEMIDA,2,3.56
GINECO OBSTETRICIA,NIFEDIPINO,2,1.2
GINECO OBSTETRICIA,DOXICICLINA,0,5.48
MEDICINA INTERNA,LACTATO GLUCONATO DE CALCIO,1,2.24
ANESTESIOLOGIA,ETOMIDATO,10,58.78
OFTALMOLOGIA (HOSPITALIZACION),PARACETAMOL,5,129.68
OFTALMOLOGIA (HOSPITALIZACION),"TOXINA BOTULINICA TIPO A""  ",1,1
OFTALMOLOGIA (HOSPITALIZACION),AZUL DE TRIPANO PARA CIRUGIA OFTALMIC,5,988.7
